"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.031753810E-1,-5.529272556E-2,4.073249340E0,-5.642200470E0
9.081714750E-1,-3.641408086E-1,4.180312634E0,-5.517888069E0
9.131675680E-1,-7.066498399E-1,4.293462276E0,-5.582881927E0
9.181638700E-1,-1.114099741E0,4.494023800E0,-5.859737396E0
9.231604330E-1,-1.522952199E0,4.798449516E0,-6.132755756E0
9.281572560E-1,-1.850408673E0,5.160996437E0,-6.053754807E0
9.331543390E-1,-2.088158846E0,5.528898239E0,-5.705488205E0
9.381516830E-1,-2.334761143E0,5.880655766E0,-5.365656853E0
9.431490790E-1,-2.675812721E0,6.085271835E0,-5.003320694E0
9.481464750E-1,-2.853971481E0,6.179171562E0,-4.701938152E0
9.531438700E-1,-2.927714348E0,6.241345882E0,-4.382870674E0
9.581412660E-1,-2.907815218E0,6.202681065E0,-4.048627377E0
9.631386620E-1,-2.838419437E0,6.082557678E0,-3.737513781E0
9.681360580E-1,-2.799473524E0,5.916950226E0,-3.387364149E0
9.731334540E-1,-2.713173389E0,5.665462494E0,-3.012374401E0
9.781308500E-1,-2.650423050E0,5.459487438E0,-2.624037504E0
9.831282450E-1,-2.749160051E0,5.220061302E0,-2.274817944E0
9.881256410E-1,-2.881774187E0,4.818685532E0,-1.992734313E0
9.931230370E-1,-2.795298100E0,4.553918362E0,-1.687002659E0
9.981204330E-1,-2.572095633E0,4.286630630E0,-1.267260194E0
1.003117412E0,-2.207742453E0,3.976132870E0,-8.034368753E-1
1.008114287E0,-2.059290171E0,3.539029121E0,-6.515526772E-2
1.013111162E0,-2.029886961E0,2.928013325E0,9.264724255E-1
1.018108037E0,-1.602259994E0,2.343577385E0,2.289808989E0
1.023104912E0,-1.105034351E0,1.615757942E0,3.908349514E0
1.028101787E0,-7.552285194E-1,7.087678909E-1,5.888800144E0
1.033098662E0,-4.439784288E-1,-1.915130615E-1,8.514200211E0
1.038095537E0,-1.849544048E-2,-1.238825798E0,1.162144661E1
1.043092412E0,1.314899683E0,-2.829668045E0,1.550525093E1
1.048089287E0,2.947958708E0,-4.862174034E0,1.874067497E1
1.053086162E0,4.632639408E0,-7.274774551E0,1.975355911E1
1.058083037E0,6.143129349E0,-9.586070061E0,1.886177826E1
